Date,High_Temp_F
2026-03-15,95.0
2026-03-16,54.7
2026-03-17,65.8
2026-03-18,76.0
2026-03-19,83.7
2026-03-20,87.1
2026-03-21,89.8
2026-03-22,90.1
2026-03-23,85.1
2026-03-24,86.2
2026-03-25,87.7
2026-03-26,88.1
2026-03-27,85.2
2026-03-28,71.5
2026-03-29,82.5
2026-03-30,85.4
2026-03-31,85.7
2026-04-01,90.1
2026-04-02,83.3
2026-04-03,84.7
2026-04-04,73.1
2026-04-05,64.8
2026-04-06,70.5
2026-04-07,73.6
2026-04-08,78.8
2026-04-09,80.3
2026-04-10,81.1
2026-04-11,80.7
2026-04-12,73.4
2026-04-13,84.5
2026-04-14,84.7
2026-04-15,84.4
2026-04-16,85.3
2026-04-17,87.5
2026-04-18,72.8
2026-04-19,70.0
